Día,T (°C),HR (%),P(hpa),Viento (m/s),Nubosidad(%),Flujo (L/día)
5/28/2016,14.7,54.6206896551724,1013.47931034483,0.927586206896552,5.18,0
5/29/2016,12.2829787234043,80.9787234042553,1014.10319148936,1.48191489361702,100,0
5/30/2016,13.1166666666667,76.8020833333333,1013.15,0.922916666666667,85.9,0.525
5/31/2016,10.8791666666667,82.2916666666667,1010.87708333333,0.5375,100,0.238
6/1/2016,12.0270833333333,61.3333333333333,1013.1625,0.995833333333334,100,0.037
6/2/2016,12.0166666666667,66.53125,1011.36875,1.18645833333333,100,0
6/3/2016,9.34787234042553,88.8085106382979,1009.67395833333,1.10106382978723,100,0
6/4/2016,10.7022988505747,85.3563218390805,1012.08229166667,1.3367816091954,86.71,0.504
6/5/2016,9.92291666666667,81.3229166666667,1012.24791666667,1.83541666666667,97.03,0.37
6/6/2016,11.09375,62.2604166666667,1016.3875,1.703125,39.21,0.254
6/7/2016,15.0541666666667,27.78125,1014.47083333333,1.43645833333333,5,0
6/8/2016,15.5104166666667,26.53125,1014.065625,0.852083333333334,5,0
6/9/2016,14.6864583333333,23.5520833333333,1013.571875,1.825,7.78,0
6/10/2016,15.1958333333333,25.4895833333333,1015.14791666667,1.175,5.81,0
6/11/2016,15.5625,25.84375,1014.38854166667,0.887500000000001,5,0
6/12/2016,17.2589473684211,37.3368421052632,1014.98421052632,0.808421052631579,100,0.555
6/13/2016,17.2875,53.0520833333333,1014.628125,0.632291666666667,99.62,0
6/14/2016,18.0760416666667,40.9166666666667,1014.83125,1.378125,95,0
6/15/2016,18.54375,31.9166666666667,1015.4875,3.0625,10.96,0
6/16/2016,18.7947916666667,27.21875,1012.21666666667,0.648958333333333,7,0
6/17/2016,15.0614583333333,48.46875,1011.30416666667,0.905208333333333,65.15,0.069
6/18/2016,17.0878048780488,39.0853658536585,1011.39895833333,0.896341463414634,8.71,0.158
6/19/2016,9.54418604651163,72.1162790697674,1012.3375,1.24883720930233,13.46,0.107
6/20/2016,12.8853658536585,50.8048780487805,1014.21979166667,0.847560975609756,45.96,0.269
6/21/2016,15.8979166666667,23.4270833333333,1012.94583333333,0.685416666666667,5,0
6/22/2016,16.5958333333333,22.34375,1012.509375,0.782291666666667,33.71,0
6/23/2016,13.9947916666667,29.9166666666667,1010.88229166667,1.50208333333333,100,0
6/24/2016,8.25729166666667,76.25,1010.68541666667,1.90833333333333,76.43,0.088
6/25/2016,8.13488372093023,79.5348837209302,1013.05681818182,0.6,100,0.072
6/26/2016,,,,,98.62,
6/27/2016,,,,,5,
6/28/2016,,,1012.45,,5,
6/29/2016,,,1011.22291666667,,5,
6/30/2016,18.6592592592593,18.5185185185185,1010.15,0.740740740740741,100,0
7/1/2016,14.7114583333333,32.4791666666667,1009.44895833333,0.464583333333333,100,0
7/2/2016,8.69270833333334,83.125,1010.65208333333,1.8375,100,0
7/3/2016,7.78105263157895,93.9368421052632,1012.49270833333,1.42421052631579,100,0
7/4/2016,10.6470588235294,74.5529411764706,1014.490625,1.28823529411765,98.5,0.213
7/5/2016,10.7895833333333,65.7604166666667,1018.50729166667,1.28645833333333,5,0.24
7/6/2016,13.4302083333333,38.125,1013.91979166667,1.55,5,0.016
7/7/2016,14.7520833333333,23.21875,1010.57395833333,0.822916666666667,66.78,0
7/8/2016,12.05625,53.1354166666667,1013.07291666667,1.11666666666667,100,0.123
7/9/2016,13.90625,27.5416666666667,1011.08958333333,0.91875,100,0
7/10/2016,12.165625,28.8020833333333,1011.87604166667,0.815625,100,0
7/11/2016,9.95268817204301,78.1827956989247,1014.54893617021,1.04086021505376,100,0
7/12/2016,10.6979166666667,78.3541666666667,1010.80208333333,0.815625,100,0.133
7/13/2016,8.83626373626374,73.5714285714286,1012.375,1.17912087912088,100,0
7/14/2016,10.64375,73.75,1014.82604166667,1.13125,53.31,0.21
7/15/2016,12.1864583333333,60.4895833333333,1014.92708333333,0.64375,67.53,0.202
7/16/2016,14.2885416666667,32.875,1012.575,0.483333333333333,5,0
7/17/2016,9.228125,61.0104166666667,1013.76041666667,1.14479166666667,100,0
7/18/2016,12.9385416666667,44.25,1012.578125,0.592708333333334,100,0.022
7/19/2016,10.921875,62.3333333333333,1011.93854166667,0.567708333333333,100,0
7/20/2016,14.4864583333333,55.2916666666667,1014.61354166667,1.14895833333333,98.87,0.126
7/21/2016,16.3645833333333,33.7395833333333,1013.62708333333,0.861458333333334,5,0
7/22/2016,15.8416666666667,35.8645833333333,1013.03541666667,0.66875,100,0
7/23/2016,14.5947916666667,47.0833333333333,1011.66979166667,1.240625,100,0
7/24/2016,11.0072916666667,63.9166666666667,1010.9875,1.246875,5,0
7/25/2016,10.2458333333333,82.5729166666667,1017.171875,1.31041666666667,100,0
7/26/2016,16.3168421052632,34.7789473684211,1011.91368421053,0.913684210526315,5,0.002
7/27/2016,16.8854166666667,42.2395833333333,1009.60104166667,0.942708333333334,100,0
7/28/2016,15.3947916666667,49.1458333333333,1011.325,1.51875,100,0
7/29/2016,14.8291666666667,49.2291666666667,1010.71979166667,1.28958333333333,100,0
7/30/2016,13.0208333333333,65.25,1010.13541666667,1.16041666666667,5,0.258
7/31/2016,12.1166666666667,64.15625,1014.26979166667,1.45625,100,0.222
8/1/2016,17.4625,24.1666666666667,1012.00729166667,2.21145833333333,100,0
8/2/2016,16.1052083333333,27.0729166666667,1011.734375,0.965625,5,0
8/3/2016,15.5614583333333,32.7604166666667,1012.39479166667,1.103125,5,0
8/4/2016,16.315625,26.6875,1010.75729166667,1.45833333333333,5,0
